mi_from_subject,record_type,status,name,planning_area,review_authority,zoning,aia_zone,record_id
4.53,Floodplain-Hillside,Awaiting Applications,363 & 403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,CFH26-00056
4.53,Project,Awaiting Applications,363 & 403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,PLN26-00318
4.53,Subdivision,Awaiting Applications,363 & 403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,SUB26-00032
4.57,Floodplain-Hillside,Awaiting Applications,403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,CFH24-00065
4.57,Project,Expired,403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,PLN24-00375
4.57,Subdivision,Awaiting Applications,403 N ALTO VIA CT,Foothills,City Council,MZC 2023,Outside AIA,SUB24-00043
4.58,Project,Applications in Review,1810 S SHOSHONE ST,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-00368
4.58,Project,Awaiting Applications,606 N BROOKDALE DR - ADU,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00322
4.59,Annexation-Rezone,Awaiting Applications,Lewis St Historic District Removal,North-East Ends,City Council,MZC 2023,Outside AIA,CAR26-00005
4.59,Design Review-Historic,Awaiting Applications,R8048011910,Downtown,Design Review Commission,MZC 2023,Outside AIA,DRH25-00253
4.59,Design Review-Historic,In Review,5835 S VISIONARY AVE,Airport,Design Review Commission,MZC 2023,B,DRH26-00201
4.59,Floodplain-Hillside,Awaiting Applications,Lewis St Historic District Removal,North-East Ends,City Council,MZC 2023,Outside AIA,CFH26-00012
4.59,Project,Applications in Review,5835 S VISIONARY AVE,Airport,Design Review Commission,MZC 2023,B,PLN26-00301
4.59,Project,Awaiting Applications,Lewis St Historic District Removal,North-East Ends,City Council,MZC 2023,Outside AIA,PLN25-00284
4.59,Project,Awaiting Applications,R8048011910,Downtown,Design Review Commission,MZC 2023,Outside AIA,PLN25-00473
4.59,Project,Project Entitled,1095 S FEDERAL WAY,Central Bench,Design Review Committee,MZC 2023,Outside AIA,PLN24-00207
4.59,Record of Survey,Awaiting Applications,1095 S FEDERAL WAY,Central Bench,Design Review Committee,MZC 2023,Outside AIA,ROS25-00079
4.6,Floodplain-Hillside,In Review,1312 E LEWIS ST - CFH,North-East Ends,Administrative,MZC 2023,Outside AIA,CFH26-00023
4.6,Project,Applications in Review,1312 E LEWIS ST - CFH,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00257
4.62,Design Review-Historic,Applicant Upload,1420 E BANNOCK ST,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH26-00125
4.62,Design Review-Historic,In Review,1311 E WARM SPRINGS AVE,North-East Ends,Administrative,MZC 2023,Outside AIA,DRH25-00111
4.62,Project,Applications in Review,1019 S PICO ST - ADU,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-00946
